event_timestamp,epoch_timestamp,message,timestamp_description,threat_type,threat_level,,,
2020-05-12T07:29:20,1589248760,wscsvc,Process Created,Process,None,,,
2020-05-12T07:29:18,1589248758,dllhost.exe,Process Created,Process,None,,,
2020-05-12T07:29:17,1589248757,SgrmBroker.exe,Process Created,Process,None,,,
2020-05-12T07:28:27,1589248707,OneDrive.exe,Process Created,Process,Suspicious. Run from App Data,,,
2020-05-12T07:28:26,1589248706,SecurityHealth,Process Created,Process,None,,,
2020-05-12T07:28:26,1589248706,SecurityHealth,Process Created,Process,None,,,
2020-05-12T07:28:18,1589248698,camsvc,Process Created,Process,None,,,
2020-05-12T07:28:18,1589248698,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:28:13,1589248693,RuntimeBroker.,Process Created,Process,None,,,
2020-05-12T07:28:12,1589248692,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:28:12,1589248692,WarpJITSvc,Process Created,Process,None,,,
2020-05-12T07:28:12,1589248692,RuntimeBroker.,Process Created,Process,None,,,
2020-05-12T07:28:11,1589248691,WbioSrvc,Process Created,Process,None,,,
2020-05-12T07:28:11,1589248691,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:28:10,1589248690,ApplicationFra,Process Created,Process,None,,,
2020-05-12T07:28:10,1589248690,Appinfo,Process Created,Process,None,,,
2020-05-12T07:28:10,1589248690,MicrosoftEdge.,Process Created,Process,None,,,
2020-05-12T07:28:10,1589248690,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:28:10,1589248690,SpeechRuntime.,Process Created,Process,None,,,
2020-05-12T07:28:09,1589248689,RuntimeBroker.,Process Created,Process,None,,,
2020-05-12T07:28:05,1589248685,SearchUI.exe,Process Created,Process,None,,,
2020-05-12T07:28:05,1589248685,SearchIndexer.,Process Created,Process,None,,,
2020-05-12T07:28:04,1589248684,RuntimeBroker.,Process Created,Process,None,,,
2020-05-12T07:28:04,1589248684,StorSvc,Process Created,Process,None,,,
2020-05-12T07:28:04,1589248684,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:28:03,1589248683,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:28:03,1589248683,DoSvc,Process Created,Process,None,,,
2020-05-12T07:28:00,1589248680,StartMenuExper,Process Created,Process,None,,,
2020-05-12T07:27:59,1589248679,dllhost.exe,Process Created,Process,None,,,
2020-05-12T07:27:58,1589248678,cbdhsvc_46576,Process Created,Process,None,,,
2020-05-12T07:27:58,1589248678,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:58,1589248678,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:58,1589248678,PcaSvc,Process Created,Process,None,,,
2020-05-12T07:27:56,1589248676,TCP 5040,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:27:56,1589248676,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,explorer.exe,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,ctfmon.exe,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,CDPSvc,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,TabletInputService,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,TokenBroker,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,userinit.exe,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,taskhostw.exe,Process Created,Process,None,,,
2020-05-12T07:27:55,1589248675,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:54,1589248674,sihost.exe,Process Created,Process,None,,,
2020-05-12T07:27:54,1589248674,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:54,1589248674,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:54,1589248674,CDPUserSvc_46576,Process Created,Process,None,,,
2020-05-12T07:27:54,1589248674,WpnUserService_46576,Process Created,Process,None,,,
2020-05-12T07:27:14,1589248634,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:14,1589248634,wuauserv,Process Created,Process,None,,,
2020-05-12T07:27:02,1589248622,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:02,1589248622,AppXSvc,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,UDP 56517,Port Opened,Listening Port,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,DiagTrack,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,TrkWks,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,DPS,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,WpnService,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,CryptSvc,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,Winmgmt,Process Created,Process,None,,,
