Name,Threat Type,Threat Level,User Comment,Path,Creation Time,Is Service,PID,PPID,Malware Scan
nsi,Process,None,,windows/system32/nsisvc.dll,5/12/20 7:27:00 AM IST,true,1896,676 (services.exe),(UNKNOWN) Malware scanning disabled.
Dhcp,Process,None,,windows/system32/dhcpcore.dll,5/12/20 7:27:00 AM IST,true,1972,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:58 AM IST,false,5128,676 (services.exe),(UNKNOWN) Malware scanning disabled.
UsoSvc,Process,None,,windows/system32/usosvc.dll,5/12/20 7:29:20 AM IST,true,7400,676 (services.exe),(UNKNOWN) Malware scanning disabled.
ShellHWDetection,Process,None,,windows/system32/shsvcs.dll,5/12/20 7:27:00 AM IST,true,2076,676 (services.exe),(UNKNOWN) Malware scanning disabled.
lmhosts,Process,None,,windows/system32/lmhsvc.dll,5/12/20 7:42:20 AM IST,true,4068,676 (services.exe),(UNKNOWN) Malware scanning disabled.
VaultSvc,Process,None,,windows/system32/vaultsvc.dll,5/12/20 7:26:59 AM IST,true,688,532 (wininit.exe),(UNKNOWN) Malware scanning disabled.
PhoneSvc,Process,None,,windows/system32/phoneservice.dll,5/12/20 7:32:49 AM IST,true,4688,676 (services.exe),(UNKNOWN) Malware scanning disabled.
SEMgrSvc,Process,None,,windows/system32/semgrsvc.dll,5/12/20 7:32:20 AM IST,true,4008,676 (services.exe),(UNKNOWN) Malware scanning disabled.
KeyIso,Process,None,,windows/system32/keyiso.dll,5/12/20 7:26:59 AM IST,true,688,532 (wininit.exe),(UNKNOWN) Malware scanning disabled.
AppXSvc,Process,None,,,5/12/20 7:27:02 AM IST,true,3116,676 (services.exe),
EventLog,Process,None,,,5/12/20 7:26:59 AM IST,true,1452,676 (services.exe),
Winmgmt,Process,None,,windows/system32/wbem/wmisvc.dll,5/12/20 7:27:01 AM IST,true,2668,676 (services.exe),(UNKNOWN) Malware scanning disabled.
iphlpsvc,Process,None,,windows/system32/iphlpsvc.dll,5/12/20 7:27:01 AM IST,true,2864,676 (services.exe),(UNKNOWN) Malware scanning disabled.
wuauserv,Process,None,,windows/system32/wuaueng.dll,5/12/20 7:27:14 AM IST,true,4056,676 (services.exe),(UNKNOWN) Malware scanning disabled.
Schedule,Process,None,,windows/system32/schedsvc.dll,5/12/20 7:26:59 AM IST,true,1060,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:26:59 AM IST,false,1328,676 (services.exe),(UNKNOWN) Malware scanning disabled.
Power,Process,None,,windows/system32/umpo.dll,5/12/20 7:26:59 AM IST,true,884,676 (services.exe),(UNKNOWN) Malware scanning disabled.
BrokerInfrastructure,Process,None,,windows/system32/psmsrv.dll,5/12/20 7:26:59 AM IST,true,884,676 (services.exe),(UNKNOWN) Malware scanning disabled.
CoreMessagingRegistrar,Process,None,,windows/system32/coremessaging.dll,5/12/20 7:26:59 AM IST,true,1420,676 (services.exe),(UNKNOWN) Malware scanning disabled.
LanmanWorkstation,Process,None,,windows/system32/wkssvc.dll,5/12/20 7:27:00 AM IST,true,2432,676 (services.exe),(UNKNOWN) Malware scanning disabled.
AudioEndpointBuilder,Process,None,,windows/system32/audioendpointbuilder.dll,5/12/20 7:26:59 AM IST,true,1668,676 (services.exe),(UNKNOWN) Malware scanning disabled.
Audiosrv,Process,None,,windows/system32/audiosrv.dll,5/12/20 7:27:00 AM IST,true,1820,676 (services.exe),(UNKNOWN) Malware scanning disabled.
RpcEptMapper,Process,None,,windows/system32/rpcepmap.dll,5/12/20 7:26:59 AM IST,true,960,676 (services.exe),(UNKNOWN) Malware scanning disabled.
DPS,Process,None,,windows/system32/dps.dll,5/12/20 7:27:01 AM IST,true,2632,676 (services.exe),(UNKNOWN) Malware scanning disabled.
SamSs,Process,None,,,5/12/20 7:26:59 AM IST,true,688,532 (wininit.exe),
